Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
48,Reggie Lewis\lewisre01,6,1988,1993,450,14676,3198,6550,27,135,1479,1794,577,1938,1153,569,417,708,1268,7902,.488,.200,.824,32.6,17.6,4.3,2.6,Nov 21 1965,Baltimore
49,Matt Maloney\malonma01,6,1997,2003,295,7470,783,1920,399,1073,212,266,62,500,852,240,14,381,376,2177,.408,.372,.797,25.3,7.4,1.7,2.9,Dec 6 1971,Silver Spring
50,Chris McCray\mccrach01,1,2007,2007,5,12,0,3,0,0,0,0,0,0,0,0,0,2,1,0,.000,,,2.4,0.0,0.0,0.0,May 27 1984,Capitol Heights
51,Rodney McGruder\mcgruro01,6,2017,2022,244,4947,529,1265,204,603,127,195,207,712,311,124,43,158,366,1389,.418,.338,.651,20.3,5.7,2.9,1.3,Jul 29 1991,Landover
52,Malcolm Miller\millema01,3,2018,2020,53,355,36,83,26,64,10,16,7,36,15,7,5,10,33,108,.434,.406,.625,6.7,2.0,0.7,0.3,Mar 6 1993,Gaithersburg
53,Rodney Monroe\monroro01,1,1992,1992,38,313,53,144,6,27,19,23,12,33,27,12,2,23,19,131,.368,.222,.826,8.2,3.4,0.9,0.7,Apr 16 1968,Baltimore
54,Terence Morris\morrite01,3,2002,2006,139,1934,209,514,22,112,32,45,123,377,93,35,49,81,126,472,.407,.196,.711,13.9,3.4,2.7,0.7,Jan 11 1979,Frederick
55,Gary Neal\nealga01,7,2011,2017,352,7507,1275,3021,460,1203,460,541,81,760,573,145,10,365,525,3470,.422,.382,.850,21.3,9.9,2.2,1.6,Oct 3 1984,Baltimore
56,Daniel Ochefu\ochefda01,1,2017,2017,19,75,12,27,0,0,0,2,5,22,3,2,0,3,17,24,.444,,.000,3.9,1.3,1.2,0.2,Dec 15 1993,Baltimore
57,Victor Oladipo\oladivi01,8,2014,2021,454,14968,2923,6676,729,2101,1380,1745,270,2094,1796,743,217,1163,1090,7955,.438,.347,.791,33.0,17.5,4.6,4.0,May 4 1992,Silver Spring
58,Arinze Onuaku\onuakar01,3,2014,2017,19,126,15,23,0,0,4,10,11,35,9,1,4,5,12,34,.652,,.400,6.6,1.8,1.8,0.5,Jul 13 1987,Lanham
59,Chinanu Onuaku\onuakch01,2,2017,2018,6,74,7,12,0,0,4,4,3,14,4,3,1,7,10,18,.583,,1.000,12.3,3.0,2.3,0.7,Nov 1 1996,Baltimore
60,Immanuel Quickley\quickim01,2,2021,2022,91,1823,316,804,162,437,196,218,36,200,194,48,12,84,169,990,.393,.371,.899,20.0,10.9,2.2,2.1,Jun 17 1999,Havre de Grace
61,Dennis Scott\scottde01,10,1991,2000,629,17983,2962,7111,1214,3060,956,1206,367,1774,1296,525,197,768,1275,8094,.417,.397,.793,28.6,12.9,2.8,2.1,Sep 5 1968,Hagerstown
62,Josh Selby\selbyjo01,2,2012,2013,38,296,31,94,3,21,18,25,2,20,34,9,0,36,24,83,.330,.143,.720,7.8,2.2,0.5,0.9,Mar 27 1991,Baltimore
63,Gene Shue\shuege01,10,1955,1964,699,23338,3715,9378,,,2638,3273,,2855,2608,,,,1405,10068,.396,,.806,33.4,14.4,4.1,3.7,Dec 18 1931,Baltimore
64,Dickey Simpkins\simpkdi01,7,1995,2002,327,5201,495,1124,2,9,396,641,423,1187,305,91,60,368,593,1388,.440,.222,.618,15.9,4.2,3.6,0.9,Apr 6 1972,Fort Washington
65,Henry Sims\simshe01,4,2013,2016,135,2542,403,856,4,23,221,288,248,670,140,76,64,153,289,1031,.471,.174,.767,18.8,7.6,5.0,1.0,Mar 27 1990,Baltimore
66,Tal Skinner\skinnta01,2,1975,1976,145,2798,274,632,,,112,177,224,608,152,99,24,,277,660,.434,,.633,19.3,4.6,4.2,1.0,Sep 10 1952,Berlin
67,Larry Spriggs\sprigla01,5,1982,1986,169,2202,341,659,0,6,191,254,125,384,218,80,28,209,338,873,.517,.000,.752,13.0,5.2,2.3,1.3,Sep 8 1959,Cheverly
68,DaJuan Summers\summeda01,4,2010,2013,83,820,103,268,29,79,43,67,24,82,29,18,8,37,104,278,.384,.367,.642,9.9,3.3,1.0,0.3,Jan 24 1988,Baltimore
69,Mike Sweetney\sweetmi01,4,2004,2007,233,3610,564,1164,0,2,388,563,400,1045,145,73,107,277,569,1516,.485,.000,.689,15.5,6.5,4.5,0.6,Oct 25 1982,Oxon Hill
70,Isaiah Todd\toddis01,1,2022,2022,5,14,4,10,4,7,1,2,1,2,0,2,1,1,1,13,.400,.571,.500,2.8,2.6,0.4,0.0,Oct 17 2001,Baltimore
71,Marvin Webster\webstma01,10,1976,1987,617,13364,1630,3343,2,7,1040,1675,1482,4218,752,228,881,873,1505,4302,.488,.286,.621,21.7,7.0,6.8,1.2,Apr 13 1952,Baltimore
72,Greg Whittington\whittgr01,1,2021,2021,4,12,0,3,0,2,0,0,0,0,0,0,0,0,0,0,.000,.000,,3.0,0.0,0.0,0.0,Feb 7 1993,Columbia
73,Reggie Williams\willire01,10,1988,1997,599,16013,2992,6848,373,1253,1151,1468,785,2393,1492,802,407,1051,1920,7508,.437,.298,.784,26.7,12.5,4.0,2.5,Mar 5 1964,Baltimore
74,Kennard Winchester\winchke01,3,1991,1993,122,1028,172,414,13,41,60,77,57,131,46,28,25,47,115,417,.415,.317,.779,8.4,3.4,1.1,0.4,Sep 3 1966,Chestertown
75,David Wingate\wingada01,15,1987,2001,740,13243,1690,3798,79,290,707,958,445,1420,1376,597,122,853,1249,4166,.445,.272,.738,17.9,5.6,1.9,1.9,Dec 15 1963,Baltimore
76,Perry Young\youngpe01,1,1987,1987,9,72,6,21,0,0,1,2,3,8,7,5,1,4,14,13,.286,,.500,8.0,1.4,0.9,0.8,Aug 4 1963,Baltimore
